team,country,year,events,athletes,age,height,weight,medals,prev_medals,prev_3_medals
30. Februar,AUT,1952,1,2,33.5,171.5,70.0,0,0.0,0.0
A North American Team,MEX,1900,1,3,41.333333333333336,,,3,0.0,0.0
A North American Team,USA,1900,1,1,,,,1,3.0,3.0
Acipactli,MEX,1964,1,3,47.333333333333336,174.66666666666666,75.33333333333333,0,0.0,0.0
Acturus,ARG,1948,1,2,27.0,,,0,0.0,0.0
Afghanistan,AFG,1936,4,15,24.266666666666666,,,0,0.0,0.0
Afghanistan,AFG,1948,2,25,,,,0,0.0,0.0
Afghanistan,AFG,1956,1,12,,,,0,0.0,0.0
Afghanistan,AFG,1960,13,12,23.3125,170.6875,69.4375,0,0.0,0.0
Afghanistan,AFG,1964,8,8,22.0,161.0,64.25,0,0.0,0.0
Afghanistan,AFG,1968,5,5,23.2,170.2,70.0,0,0.0,0.0
Afghanistan,AFG,1972,8,8,29.0,168.33333333333334,63.75,0,0.0,0.0
Afghanistan,AFG,1980,11,11,23.636363636363637,168.36363636363637,63.18181818181818,0,0.0,0.0
Afghanistan,AFG,1988,5,5,,,,0,0.0,0.0
Afghanistan,AFG,1996,2,2,23.5,,,0,0.0,0.0
Afghanistan,AFG,2004,5,5,18.6,170.75,64.75,0,0.0,0.0
Afghanistan,AFG,2008,4,4,22.5,179.25,62.75,1,0.0,0.0
Afghanistan,AFG,2012,6,6,24.833333333333332,171.66666666666666,60.833333333333336,1,1.0,0.3333333333333333
Afghanistan,AFG,2016,3,3,24.666666666666668,173.66666666666666,74.0,0,1.0,0.6666666666666666
Akatonbo,IRL,1964,1,3,40.333333333333336,182.0,80.0,0,0.0,0.0
Alain IV,SUI,1964,1,3,48.0,176.0,89.33333333333333,0,0.0,0.0
Albania,ALB,1972,3,5,26.8,,59.0,0,0.0,0.0
Albania,ALB,1992,8,7,25.333333333333332,163.0,75.25,0,0.0,0.0
Albania,ALB,1996,7,7,26.77777777777778,169.0,67.5,0,0.0,0.0
Albania,ALB,2000,5,4,31.2,167.8,62.9,0,0.0,0.0
Albania,ALB,2004,7,7,20.857142857142858,172.28571428571428,70.71428571428571,0,0.0,0.0
Albania,ALB,2006,3,1,19.0,180.0,74.0,0,0.0,0.0
Albania,ALB,2008,12,11,27.25,173.41666666666666,74.75,0,0.0,0.0
Albania,ALB,2010,2,1,23.0,180.0,74.0,0,0.0,0.0
Albania,ALB,2012,9,9,25.7,176.8,80.2,0,0.0,0.0
Albania,ALB,2014,2,1,20.0,163.0,56.0,0,0.0,0.0
Albania,ALB,2016,6,6,23.666666666666668,176.16666666666666,67.16666666666667,0,0.0,0.0
Alcaid,POR,1952,1,3,30.0,,,0,0.0,0.0
Alcyon-6,FRA,1900,1,1,,,,0,0.0,0.0
Alcyon-7,FRA,1900,1,1,,,,0,0.0,0.0
Aldebaran,ITA,1964,1,2,32.5,174.5,78.5,0,0.0,0.0
Aldebaran II,ITA,1960,1,2,37.5,177.5,80.0,0,0.0,0.0
